#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.389809   -0.389809           0
           2   -0.411925   -0.400867  0.00781901
           3   -0.371199   -0.390978  0.00961099
           4   -0.384631   -0.389391  0.00733803
           5   -0.344719   -0.380457  0.00991566
           6   -0.356389   -0.376445  0.00903808
           7    -0.38723   -0.377986  0.00787716
           8    -0.40336   -0.381158  0.00750395
           9   -0.419517    -0.38542  0.00778708
          10   -0.386954   -0.385573  0.00700988
          11   -0.413701    -0.38813  0.00682307
          12   -0.427257   -0.391391  0.00699027
          13   -0.387928   -0.391124  0.00645763
          14   -0.321645   -0.386162  0.00766984
          15   -0.323117   -0.381959  0.00822993
          16   -0.321491    -0.37818   0.0085393
          17   -0.343813   -0.376158  0.00827282
          18   -0.372329   -0.375945  0.00781595
          19   -0.381807   -0.376254  0.00741067
          20   -0.380091   -0.376446  0.00704262
          21   -0.374384   -0.376347  0.00670795
          22   -0.352446   -0.375261  0.00649042
          23   -0.357502   -0.374489  0.00625399
          24   -0.388803   -0.375085  0.00602178
          25   -0.381853   -0.375356  0.00578699
          26   -0.413679    -0.37683  0.00574906
          27   -0.412688   -0.378158  0.00568747
          28   -0.362351   -0.377594  0.00551229
          29   -0.360119   -0.376991  0.00535504
          30   -0.354287   -0.376234  0.00522975
          31   -0.383426   -0.376466  0.00506619
          32   -0.386497    -0.37678  0.00491756
          33   -0.395766   -0.377355  0.00480208
          34   -0.410638   -0.378334  0.00475958
          35   -0.401974   -0.379009  0.00467127
          36   -0.384521   -0.379162  0.00454402
          37   -0.397417   -0.379656  0.00444791
          38   -0.401835   -0.380239  0.00436899
          39   -0.360787   -0.379741  0.00428534
          40   -0.369009   -0.379472  0.00418659
          41   -0.352509   -0.378815  0.00413581
          42   -0.407489   -0.379497   0.0040933
          43   -0.380215   -0.379514  0.00399815
          44   -0.384732   -0.379633  0.00390904
          45   -0.348915    -0.37895  0.00388131
          46    -0.31883   -0.377643  0.00401095
          47    -0.36371   -0.377347  0.00393655
          48    -0.37424   -0.377282  0.00385507
          49   -0.422749    -0.37821  0.00388646
          50   -0.450205    -0.37965  0.00406673
