#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.32209     1.32209           0
           2     1.33677     1.32943  0.00519009
           3     1.30955      1.3228   0.0064209
           4     1.31856     1.32174  0.00490261
           5     1.29202      1.3158  0.00660594
           6     1.29977     1.31312  0.00602107
           7     1.32035     1.31416  0.00524866
           8     1.33117     1.31628  0.00500471
           9     1.34171     1.31911  0.00518536
          10     1.32006      1.3192   0.0046677
          11     1.33795     1.32091  0.00454374
          12     1.34698     1.32308   0.0046555
          13     1.32093     1.32292  0.00430032
          14     1.27664     1.31961  0.00510768
          15     1.27765     1.31681  0.00547986
          16     1.27652     1.31429  0.00568653
          17     1.29147     1.31295  0.00550819
          18     1.31035     1.31281  0.00520408
          19     1.31675     1.31302  0.00493432
          20     1.31551     1.31314  0.00468919
          21     1.31179     1.31308  0.00446634
          22      1.2972     1.31235  0.00432123
          23     1.30055     1.31184   0.0041637
          24     1.32128     1.31223  0.00400874
          25      1.3168     1.31242  0.00385255
          26     1.33787      1.3134  0.00382674
          27     1.33729     1.31428  0.00378594
          28      1.3038     1.31391   0.0036692
          29     1.30233     1.31351  0.00356434
          30     1.29836       1.313  0.00348111
          31     1.31777     1.31316   0.0033722
          32     1.31984     1.31336  0.00327328
          33     1.32611     1.31375   0.0031968
          34     1.33585      1.3144  0.00316817
          35     1.33018     1.31485  0.00310956
          36     1.31849     1.31495  0.00302482
          37     1.32711     1.31528  0.00296086
          38     1.33008     1.31567  0.00290843
          39     1.30261     1.31534  0.00285306
          40     1.30832     1.31516  0.00278712
          41     1.29721     1.31472  0.00275333
          42     1.33384     1.31518  0.00272515
          43     1.31573     1.31519  0.00266181
          44     1.31874     1.31527  0.00260253
          45     1.29486     1.31482  0.00258394
          46     1.27474     1.31395   0.0026706
          47     1.30468     1.31375  0.00262105
          48     1.31164     1.31371  0.00256681
          49     1.34394     1.31432  0.00258754
          50     1.36231     1.31528  0.00270791
