# VELOCITY:     AVE_POFV:        ERROR:
           0  0.00318815 0.000369578
    0.266667   0.0209098  0.00114373
    0.533333   0.0524941  0.00198698
         0.8   0.0854657  0.00193823
     1.06667    0.117897  0.00240501
     1.33333     0.14186   0.0026403
         1.6    0.134635  0.00281364
     1.86667    0.119471  0.00224677
     2.13333   0.0997567  0.00275405
         2.4   0.0772683   0.0020032
     2.66667   0.0570822  0.00182203
     2.93333   0.0385594  0.00150956
         3.2   0.0239624  0.00129899
     3.46667   0.0130587 0.000660224
     3.73333    0.007865 0.000704439
           4  0.00361259 0.000514265
     4.26667   0.0019187 0.000348344
     4.53333 0.000820926 0.000238945
         4.8 0.000154815 7.10175e-05
     5.06667 1.92593e-05 1.90657e-05
     5.33333           0           0
         5.6           0           0
     5.86667           0           0
     6.13333           0           0
         6.4           0           0
     6.66667           0           0
     6.93333           0           0
         7.2           0           0
     7.46667           0           0
     7.73333           0           0
