#    BLOCK:   VELOCITY:    ACTUAL_POFV:
          10    0.266667   0.0324907
          10    0.533333   0.0543611
          10         0.8   0.0978426
          10     1.06667    0.133546
          10     1.33333    0.142546
          10         1.6     0.10088
          10     1.86667     0.11313
          10     2.13333   0.0863241
          10         2.4   0.0815093
          10     2.66667   0.0636204
          10     2.93333   0.0317963
          10         3.2   0.0306296
          10     3.46667   0.0171019
          10     3.73333  0.00496296
          10           4           0
          10     4.26667  0.00688889
          10     4.53333  0.00237037
          10         4.8           0
          10     5.06667           0
          10     5.33333           0
          10         5.6           0
          10     5.86667           0
          10     6.13333           0
          10         6.4           0
          10     6.66667           0
          10     6.93333           0
          10         7.2           0
          10     7.46667           0
          10     7.73333           0

          11           0   0.0012963
          11    0.266667   0.0232407
          11    0.533333   0.0585833
          11         0.8    0.093537
          11     1.06667    0.126259
          11     1.33333    0.137083
          11         1.6    0.121287
          11     1.86667    0.120602
          11     2.13333    0.103583
          11         2.4   0.0703611
          11     2.66667   0.0421481
          11     2.93333   0.0398519
          11         3.2   0.0218519
          11     3.46667      0.0115
          11     3.73333   0.0147037
          11           4  0.00423148
          11     4.26667  0.00278704
          11     4.53333  0.00339815
          11         4.8  0.00273148
          11     5.06667 0.000962963
          11     5.33333           0
          11         5.6           0
          11     5.86667           0
          11     6.13333           0
          11         6.4           0
          11     6.66667           0
          11     6.93333           0
          11         7.2           0
          11     7.46667           0
          11     7.73333           0

          12           0 0.000546296
          12    0.266667   0.0201296
          12    0.533333   0.0464259
          12         0.8   0.0960926
          12     1.06667    0.128046
          12     1.33333    0.139926
          12         1.6    0.136778
          12     1.86667    0.103694
          12     2.13333   0.0834352
          12         2.4   0.0802593
          12     2.66667   0.0610556
          12     2.93333   0.0485185
          12         3.2   0.0279537
          12     3.46667  0.00919444
          12     3.73333  0.00521296
          12           4  0.00246296
          12     4.26667   0.0097037
          12     4.53333 0.000564815
          12         4.8           0
          12     5.06667           0
          12     5.33333           0
          12         5.6           0
          12     5.86667           0
          12     6.13333           0
          12         6.4           0
          12     6.66667           0
          12     6.93333           0
          12         7.2           0
          12     7.46667           0
          12     7.73333           0

          13           0  0.00277778
          13    0.266667   0.0174352
          13    0.533333   0.0589444
          13         0.8   0.0722963
          13     1.06667    0.168704
          13     1.33333    0.156037
          13         1.6    0.105611
          13     1.86667   0.0943426
          13     2.13333   0.0842315
          13         2.4      0.0705
          13     2.66667    0.060537
          13     2.93333   0.0523889
          13         3.2   0.0184074
          13     3.46667   0.0121296
          13     3.73333   0.0203611
          13           4  0.00272222
          13     4.26667  0.00206481
          13     4.53333 0.000509259
          13         4.8           0
          13     5.06667           0
          13     5.33333           0
          13         5.6           0
          13     5.86667           0
          13     6.13333           0
          13         6.4           0
          13     6.66667           0
          13     6.93333           0
          13         7.2           0
          13     7.46667           0
          13     7.73333           0

          14           0 0.000268519
          14    0.266667   0.0143333
          14    0.533333   0.0569444
          14         0.8   0.0887685
          14     1.06667    0.136704
          14     1.33333    0.174537
          14         1.6    0.123528
          14     1.86667    0.118657
          14     2.13333   0.0855741
          14         2.4   0.0438519
          14     2.66667   0.0628704
          14     2.93333   0.0282037
          14         3.2   0.0249074
          14     3.46667   0.0204167
          14     3.73333   0.0179352
          14           4      0.0025
          14     4.26667           0
          14     4.53333           0
          14         4.8           0
          14     5.06667           0
          14     5.33333           0
          14         5.6           0
          14     5.86667           0
          14     6.13333           0
          14         6.4           0
          14     6.66667           0
          14     6.93333           0
          14         7.2           0
          14     7.46667           0
          14     7.73333           0

          15           0 0.000203704
          15    0.266667   0.0200185
          15    0.533333   0.0323704
          15         0.8   0.0962685
          15     1.06667    0.119917
          15     1.33333    0.161491
          15         1.6     0.14762
          15     1.86667    0.110815
          15     2.13333   0.0748611
          15         2.4   0.0977222
          15     2.66667   0.0751667
          15     2.93333   0.0251296
          15         3.2   0.0131204
          15     3.46667   0.0178056
          15     3.73333  0.00623148
          15           4  0.00125926
          15     4.26667           0
          15     4.53333           0
          15         4.8           0
          15     5.06667           0
          15     5.33333           0
