#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59332     1.59332           0
           2     1.59322     1.59327 3.38765e-05
           3     1.59313     1.59322 4.48273e-05
           4      1.5932     1.59322 3.39442e-05
           5     1.59332     1.59324 3.24371e-05
           6     1.59326     1.59324 2.72313e-05
           7      1.5933     1.59325 2.44155e-05
           8     1.59339     1.59327 2.68631e-05
           9     1.59306     1.59324 3.25782e-05
          10     1.59314     1.59323 3.09659e-05
          11     1.59322     1.59323  2.8172e-05
          12     1.59321     1.59323 2.59017e-05
          13     1.59347     1.59325 2.97704e-05
          14     1.59332     1.59325 2.80964e-05
          15     1.59336     1.59326 2.71031e-05
          16      1.5933     1.59326 2.54985e-05
          17      1.5934     1.59327 2.52294e-05
          18      1.5932     1.59327 2.41675e-05
          19     1.59332     1.59327 2.30817e-05
          20     1.59318     1.59326 2.23601e-05
          21      1.5933     1.59327 2.13598e-05
          22     1.59335     1.59327 2.07523e-05
          23     1.59333     1.59327  1.9989e-05
          24     1.59312     1.59327  2.0198e-05
          25     1.59335     1.59327 1.96366e-05
          26     1.59313     1.59326 1.96292e-05
          27     1.59324     1.59326 1.89156e-05
          28     1.59334     1.59327 1.84568e-05
          29     1.59337     1.59327 1.81602e-05
          30     1.59325     1.59327 1.75625e-05
          31     1.59322     1.59327 1.70564e-05
          32     1.59326     1.59327 1.65277e-05
          33      1.5934     1.59327 1.65266e-05
          34     1.59314     1.59327 1.65034e-05
          35      1.5933     1.59327 1.60527e-05
          36     1.59321     1.59327 1.56877e-05
          37     1.59324     1.59327 1.52755e-05
          38     1.59328     1.59327 1.48783e-05
          39     1.59313     1.59326 1.48907e-05
          40     1.59347     1.59327 1.53988e-05
          41      1.5933     1.59327 1.50431e-05
          42     1.59328     1.59327  1.4686e-05
          43     1.59338     1.59327 1.45806e-05
          44     1.59338     1.59327 1.44474e-05
          45     1.59337     1.59328  1.4281e-05
          46     1.59328     1.59328  1.3971e-05
          47     1.59331     1.59328 1.36913e-05
          48     1.59322     1.59328 1.34535e-05
          49     1.59317     1.59327 1.33681e-05
          50     1.59325     1.59327 1.31068e-05
