#    BLOCK:   VELOCITY:    ACTUAL_POFV:
          10           1   0.0623704
          10     1.33333   0.0979861
          10     1.66667     0.11975
          10           2   0.0935139
          10     2.33333    0.119625
          10     2.66667    0.119111
          10           3    0.103426
          10     3.33333   0.0719259
          10     3.66667   0.0603194
          10           4   0.0487917
          10     4.33333   0.0312963
          10     4.66667   0.0239398
          10           5  0.00719444
          10     5.33333   0.0015787
          10     5.66667  0.00111111
          10           6           0
          10     6.33333           0
          10     6.66667           0
          10           7           0
          10     7.33333           0
          10     7.66667           0
          10           8           0
          10     8.33333           0
          10     8.66667           0
          10           9           0
          10     9.33333           0
          10     9.66667           0

          11           0   0.0010787
          11    0.333333   0.0168704
          11    0.666667   0.0256667
          11           1    0.048625
          11     1.33333   0.0842361
          11     1.66667   0.0891296
          11           2    0.132954
          11     2.33333    0.165949
          11     2.66667    0.119602
          11           3   0.0598519
          11     3.33333   0.0910648
          11     3.66667   0.0750741
          11           4   0.0296898
          11     4.33333   0.0164213
          11     4.66667   0.0153241
          11           5   0.0186528
          11     5.33333  0.00619444
          11     5.66667    0.002375
          11           6 0.000476852
          11     6.33333 0.000763889
          11     6.66667           0
          11           7           0
          11     7.33333           0
          11     7.66667           0
          11           8           0
          11     8.33333           0
          11     8.66667           0
          11           9           0
          11     9.33333           0
          11     9.66667           0

          12           0  0.00149537
          12    0.333333   0.0129815
          12    0.666667   0.0226574
          12           1   0.0590417
          12     1.33333    0.110889
          12     1.66667   0.0945648
          12           2    0.114667
          12     2.33333    0.131551
          12     2.66667    0.117616
          12           3   0.0984213
          12     3.33333   0.0640926
          12     3.66667   0.0553148
          12           4   0.0592685
          12     4.33333   0.0280417
          12     4.66667   0.0115787
          12           5  0.00326852
          12     5.33333  0.00205556
          12     5.66667  0.00705556
          12           6  0.00331481
          12     6.33333    0.002125
          12     6.66667           0
          12           7           0
          12     7.33333           0
          12     7.66667           0
          12           8           0
          12     8.33333           0
          12     8.66667           0
          12           9           0
          12     9.33333           0
          12     9.66667           0

          13           0  0.00287963
          13    0.333333   0.0240139
          13    0.666667   0.0405463
          13           1   0.0685648
          13     1.33333    0.101949
          13     1.66667    0.111991
          13           2    0.125769
          13     2.33333   0.0931435
          13     2.66667   0.0773889
          13           3   0.0785139
          13     3.33333   0.0651157
          13     3.66667   0.0565602
          13           4   0.0661806
          13     4.33333   0.0504491
          13     4.66667   0.0208102
          13           5  0.00837963
          13     5.33333  0.00568519
          13     5.66667 0.000550926
          13           6  0.00148611
          13     6.33333 2.31481e-05
          13     6.66667           0
          13           7           0
          13     7.33333           0
          13     7.66667           0
          13           8           0
          13     8.33333           0
          13     8.66667           0
          13           9           0
          13     9.33333           0
          13     9.66667           0

          14           0 0.000532407
          14    0.333333   0.0122176
          14    0.666667   0.0481065
          14           1    0.073787
          14     1.33333   0.0646991
          14     1.66667    0.107833
          14           2    0.117176
          14     2.33333    0.121657
          14     2.66667    0.135694
          14           3   0.0966667
          14     3.33333   0.0645278
          14     3.66667   0.0476435
          14           4   0.0256806
          14     4.33333   0.0262731
          14     4.66667   0.0242083
          14           5   0.0130509
          14     5.33333   0.0104398
          14     5.66667  0.00498148
          14           6  0.00244907
          14     6.33333    0.002375
          14     6.66667           0
          14           7           0
          14     7.33333           0
          14     7.66667           0
          14           8           0
          14     8.33333           0
          14     8.66667           0
          14           9           0
          14     9.33333           0
          14     9.66667           0

          15           0 0.000388889
          15    0.333333   0.0165417
          15    0.666667   0.0323426
          15           1   0.0693796
          15     1.33333   0.0881111
          15     1.66667   0.0979398
          15           2    0.118551
          15     2.33333    0.124657
          15     2.66667    0.112731
          15           3   0.0825648
          15     3.33333   0.0800139
          15     3.66667   0.0643657
          15           4   0.0584537
          15     4.33333   0.0183056
          15     4.66667  0.00809722
          15           5   0.0129769
          15     5.33333  0.00783796
          15     5.66667  0.00106481
          15           6  0.00141204
          15     6.33333  0.00426389
          15     6.66667           0
          15           7           0
          15     7.33333           0
          15     7.66667           0
          15           8           0
          15     8.33333           0
          15     8.66667           0
          15           9           0
          15     9.33333           0
          15     9.66667           0

          16           0  0.00144444
          16    0.333333   0.0155787
          16    0.666667   0.0281065
          16           1   0.0411296
          16     1.33333   0.0903796
          16     1.66667     0.11169
          16           2    0.139255
          16     2.33333    0.111991
          16     2.66667    0.125755
          16           3   0.0807639
          16     3.33333   0.0846898
          16     3.66667   0.0656435
          16           4   0.0377917
          16     4.33333   0.0271111
          16     4.66667   0.0186806
          16           5   0.0144583
          16     5.33333  0.00549537
          16     5.66667  3.7037e-05
          16           6           0
          16     6.33333           0
          16     6.66667           0
          16           7           0
          16     7.33333           0
          16     7.66667           0
          16           8           0
          16     8.33333           0
          16     8.66667           0
          16           9           0
          16     9.33333           0
          16     9.66667           0

          17           0   0.0012963
          17    0.333333   0.0189074
          17    0.666667   0.0350324
          17           1   0.0535139
          17     1.33333    0.097375
          17     1.66667    0.104907
          17           2    0.120222
          17     2.33333   0.0938009
          17     2.66667    0.125005
          17           3    0.104653
          17     3.33333   0.0980648
          17     3.66667   0.0450787
          17           4   0.0345139
          17     4.33333   0.0369537
          17     4.66667    0.010713
          17           5   0.0103796
          17     5.33333  0.00131481
          17     5.66667  0.00133333
          17           6 9.25926e-05
          17     6.33333  0.00197222
          17     6.66667   0.0046713
          17           7 0.000199074
          17     7.33333           0
          17     7.66667           0
          17           8           0
          17     8.33333           0
          17     8.66667           0
          17           9           0
          17     9.33333           0
          17     9.66667           0

          18           0  0.00738889
          18    0.333333   0.0240694
          18    0.666667   0.0361806
          18           1   0.0540139
          18     1.33333     0.08575
          18     1.66667    0.105144
          18           2    0.107542
          18     2.33333    0.111019
          18     2.66667    0.121986
          18           3   0.0963102
          18     3.33333   0.0900509
          18     3.66667   0.0486296
          18           4   0.0387315
          18     4.33333   0.0423704
          18     4.66667    0.013412
          18           5  0.00751852
          18     5.33333  0.00356481
          18     5.66667 0.000671296
          18           6   0.0022037
          18     6.33333    0.003125
          18     6.66667 0.000319444
          18           7           0
          18     7.33333           0
          18     7.66667           0
          18           8           0
          18     8.33333           0
          18     8.66667           0
          18           9           0
          18     9.33333           0
          18     9.66667           0

          19           0    0.001125
          19    0.333333   0.0169954
          19    0.666667   0.0410139
          19           1     0.07725
          19     1.33333    0.088125
          19     1.66667    0.124046
          19           2    0.146009
          19     2.33333       0.086
          19     2.66667    0.110042
          19           3   0.0663056
          19     3.33333   0.0587546
          19     3.66667   0.0687824
          19           4   0.0221759
          19     4.33333   0.0322454
          19     4.66667   0.0200417
          19           5    0.015213
          19     5.33333   0.0144676
          19     5.66667  0.00516204
          19           6  0.00109259
          19     6.33333  0.00285648
          19     6.66667   0.0022963
          19           7           0
          19     7.33333           0
          19     7.66667           0
          19           8           0
          19     8.33333           0
          19     8.66667           0
          19           9           0
          19     9.33333           0
          19     9.66667           0

          20           0 0.000787037
          20    0.333333   0.0175602
          20    0.666667   0.0343241
          20           1   0.0527639
          20     1.33333   0.0742685
          20     1.66667    0.115671
          20           2    0.128167
          20     2.33333    0.111912
          20     2.66667    0.103102
          20           3    0.133292
          20     3.33333   0.0702731
          20     3.66667   0.0535185
          20           4   0.0366481
          20     4.33333   0.0314259
          20     4.66667   0.0136111
          20           5  0.00775926
          20     5.33333  0.00407407
          20     5.66667  0.00573611
          20           6  0.00201852
          20     6.33333  0.00202778
          20     6.66667  0.00106019
          20           7           0
          20     7.33333           0
          20     7.66667           0
          20           8           0
          20     8.33333           0
          20     8.66667           0
          20           9           0
          20     9.33333           0
          20     9.66667           0

