#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.00188     2.00188           0
           2     2.02044     2.01116    0.006559
           3     2.06723     2.02985   0.0158743
           4     2.05373     2.03582   0.0129797
           5     2.04648     2.03795   0.0105574
           6      2.0778     2.04459   0.0106841
           7     2.10638     2.05342   0.0122737
           8     2.11542     2.06117   0.0129574
           9     2.10981     2.06657   0.0125943
          10     2.13787      2.0737   0.0131994
          11     2.15687     2.08126   0.0139985
          12     2.17065     2.08871   0.0146807
          13     2.15714     2.09398   0.0144642
          14     2.16966     2.09938   0.0144058
          15     2.18737     2.10525   0.0145908
          16     2.21293     2.11198   0.0151518
          17     2.19595     2.11692    0.015044
          18     2.16453     2.11956   0.0144389
          19     2.17727      2.1226   0.0139948
          20      2.1936     2.12615    0.013738
          21     2.22632     2.13092   0.0138873
          22     2.21915     2.13493   0.0138229
          23     2.19682     2.13762   0.0134813
          24     2.17652     2.13924   0.0130166
          25     2.17534     2.14069   0.0125758
          26      2.1889     2.14254    0.012228
          27     2.18044     2.14394   0.0118554
          28     2.18546     2.14543   0.0115244
          29     2.17933     2.14659   0.0111861
          30     2.21375     2.14883    0.011035
          31     2.20963     2.15079   0.0108519
          32     2.19847     2.15228   0.0106145
          33     2.17858     2.15308   0.0103228
          34     2.15768     2.15322     0.01002
          35     2.17529     2.15385  0.00975356
          36     2.18343     2.15467  0.00951718
          37     2.18053     2.15537   0.0092856
          38     2.18402     2.15612  0.00907179
          39     2.19267     2.15706  0.00888745
          40      2.2088     2.15835   0.0087589
          41     2.20303     2.15944  0.00861277
          42     2.19541      2.1603  0.00845018
          43     2.20981     2.16145  0.00833174
          44     2.19658     2.16225  0.00818054
          45     2.18227     2.16269  0.00801083
          46      2.1708     2.16287  0.00783862
          47     2.17296     2.16308  0.00767478
          48     2.15553     2.16293   0.0075165
          49      2.1463     2.16259  0.00737075
          50     2.14351     2.16221  0.00723321
