# VELOCITY:     AVE_POFV:        ERROR:
           0  0.00134259  0.00039947
    0.266667   0.0176704  0.00169113
    0.533333   0.0403889   0.0025141
         0.8   0.0776889  0.00449194
     1.06667   0.0919944  0.00389447
     1.33333   0.0962574  0.00327432
         1.6    0.129398  0.00430745
     1.86667    0.124954   0.0035304
     2.13333    0.123765  0.00439828
         2.4    0.100404  0.00581808
     2.66667   0.0749704  0.00374712
     2.93333   0.0488278  0.00296009
         3.2   0.0320815  0.00233845
     3.46667   0.0169648    0.001696
     3.73333  0.00674444  0.00112676
           4  0.00573148 0.000821977
     4.26667  0.00728148  0.00114976
     4.53333     0.00175  0.00048149
         4.8  0.00121852 0.000404208
     5.06667 0.000225926 0.000172554
     5.33333 0.000185185 0.000145532
         5.6 0.000155556 0.000153992
     5.86667           0           0
     6.13333           0           0
         6.4           0           0
     6.66667           0           0
     6.93333           0           0
         7.2           0           0
     7.46667           0           0
     7.73333           0           0
