#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.00283     3.00283           0
           2     3.03065     3.01674   0.0098385
           3     3.10085     3.04478   0.0238114
           4     3.08059     3.05373   0.0194695
           5     3.06972     3.05693    0.015836
           6     3.11669     3.06689   0.0160262
           7     3.15957     3.08013   0.0184105
           8     3.17313     3.09175   0.0194362
           9     3.16471     3.09986   0.0188915
          10      3.2068     3.11055   0.0197991
          11     3.23531      3.1219   0.0209978
          12     3.25598     3.13307    0.022021
          13      3.2357     3.14096   0.0216962
          14     3.25449     3.14907   0.0216087
          15     3.28105     3.15787   0.0218863
          16      3.3194     3.16797   0.0227277
          17     3.29392     3.17538   0.0225661
          18     3.24679     3.17934   0.0216584
          19     3.26591      3.1839   0.0209922
          20      3.2904     3.18922   0.0206069
          21     3.33949     3.19638   0.0208309
          22     3.32872      3.2024   0.0207344
          23     3.29523     3.20643    0.020222
          24     3.26477     3.20886   0.0195249
          25     3.26301     3.21103   0.0188637
          26     3.28334     3.21381   0.0183421
          27     3.27065     3.21591   0.0177831
          28     3.27819     3.21814   0.0172865
          29       3.269     3.21989   0.0167792
          30     3.32063     3.22325   0.0165524
          31     3.31445     3.22619   0.0162778
          32      3.2977     3.22843   0.0159218
          33     3.26787     3.22962   0.0154841
          34     3.23652     3.22983     0.01503
          35     3.26293     3.23077   0.0146303
          36     3.27514       3.232   0.0142758
          37      3.2708     3.23305   0.0139284
          38     3.27602     3.23418   0.0136077
          39       3.289     3.23559   0.0133312
          40      3.3132     3.23753   0.0131383
          41     3.30454     3.23916   0.0129191
          42     3.29312     3.24045   0.0126753
          43     3.31471     3.24218   0.0124976
          44     3.29487     3.24337   0.0122708
          45      3.2734     3.24404   0.0120163
          46     3.25619      3.2443   0.0117579
          47     3.25943     3.24463   0.0115122
          48      3.2333     3.24439   0.0112748
          49     3.21946     3.24388   0.0110561
          50     3.21526     3.24331   0.0108498
