#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.462095   -0.462095           0
           2    -0.45941   -0.460753 0.000949545
           3   -0.462081   -0.461195 0.000728971
           4   -0.462198   -0.461446 0.000588261
           5   -0.463136   -0.461784 0.000559318
           6    -0.46194    -0.46181 0.000466705
           7   -0.461807   -0.461809 0.000400033
           8   -0.462036   -0.461838  0.00035103
           9   -0.462078   -0.461865 0.000313044
          10   -0.461557   -0.461834  0.00028325
          11   -0.460856   -0.461745 0.000271093
          12   -0.464071   -0.461939  0.00031016
          13   -0.464694   -0.462151 0.000351311
          14   -0.460317    -0.46202 0.000349782
          15   -0.461555   -0.461989  0.00032783
          16   -0.463162   -0.462062 0.000315442
          17    -0.46222   -0.462071 0.000297024
          18   -0.461764   -0.462054 0.000281012
          19   -0.462751   -0.462091 0.000268601
          20   -0.461083   -0.462041 0.000259859
