#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.447925    0.447925           0
           2    0.426784    0.437355  0.00747433
           3    0.443486    0.439398  0.00525493
           4    0.444349    0.440636  0.00408437
           5    0.436876    0.439884  0.00333601
           6    0.433192    0.438769  0.00296059
           7    0.416712    0.435618  0.00386648
           8    0.444603    0.436741  0.00354255
           9    0.448903    0.438092  0.00339691
          10    0.440748    0.438358  0.00306758
          11    0.428505    0.437462  0.00291656
          12    0.426022    0.436509  0.00282502
          13    0.427009    0.435778  0.00270058
          14    0.451486      0.4369  0.00273082
          15    0.431553    0.436544  0.00257193
          16    0.440037    0.436762  0.00242043
          17     0.43246    0.436509  0.00229124
          18    0.440325    0.436721  0.00217374
          19    0.429823    0.436358  0.00208942
          20     0.41975    0.435527  0.00214361
