#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.892682   -0.892682           0
           2   -0.891168   -0.891925 0.000535506
           3   -0.893157   -0.892336 0.000489764
           4   -0.889594    -0.89165 0.000698008
           5   -0.887226   -0.890765 0.000968633
           6   -0.894004   -0.891305 0.000945694
           7   -0.885673   -0.890501   0.0011009
           8   -0.886812    -0.89004  0.00105543
           9   -0.893764   -0.890453  0.00101607
          10   -0.892245   -0.890633 0.000930125
          11   -0.892494   -0.890802 0.000860826
          12   -0.891105   -0.890827 0.000789462
          13   -0.891337   -0.890866 0.000729709
          14   -0.890407   -0.890834 0.000678324
          15   -0.888975    -0.89071 0.000644314
          16   -0.891508    -0.89076 0.000605973
          17    -0.90034   -0.891323 0.000790053
          18   -0.886513   -0.891056 0.000790071
          19    -0.88975   -0.890987 0.000751474
          20   -0.889737   -0.890925 0.000716494
