#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.648579   -0.648579           0
           2   -0.646296   -0.647438 0.000807092
           3   -0.648666   -0.647847 0.000633379
           4   -0.648238   -0.647945 0.000482511
           5   -0.648654   -0.648087 0.000406322
           6   -0.645625   -0.647676 0.000504839
           7   -0.649171    -0.64789 0.000475743
           8   -0.646919   -0.647769 0.000431479
           9   -0.643764   -0.647324 0.000568431
          10   -0.644555   -0.647047 0.000575066
          11   -0.646248   -0.646974 0.000527349
          12   -0.648479     -0.6471 0.000498087
          13   -0.647938   -0.647164 0.000463931
          14   -0.643873   -0.646929 0.000486706
          15   -0.644619   -0.646775 0.000477994
          16   -0.649703   -0.646958 0.000481881
          17   -0.647773   -0.647006 0.000455913
          18   -0.648079   -0.647066 0.000434464
          19   -0.648779   -0.647156 0.000420856
          20   -0.643908   -0.646993  0.00043001
