#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.370636    0.370636           0
           2    0.373355    0.371995 0.000961316
           3    0.372131    0.372041 0.000641938
           4    0.375506    0.372907 0.000891405
           5    0.374877    0.373301 0.000795431
           6    0.380797     0.37455  0.00131913
           7    0.370279     0.37394  0.00126398
           8    0.377643    0.374403   0.0011877
           9    0.376799    0.374669  0.00108518
          10    0.372062    0.374408  0.00100748
          11    0.369944    0.374003 0.000994278
          12    0.360751    0.372898  0.00139592
          13    0.373287    0.372928  0.00128886
          14     0.37792    0.373285  0.00124513
          15    0.375369    0.373424  0.00116985
          16    0.372588    0.373372   0.0010979
          17     0.37243    0.373316  0.00103472
          18    0.369057     0.37308  0.00100392
          19     0.37705    0.373288 0.000972592
          20    0.372253    0.373237 0.000925341
