#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.52918    -0.52918           0
           2   -0.527222   -0.528201 0.000692484
           3    -0.52863   -0.528344 0.000476203
           4   -0.529201   -0.528558 0.000402496
           5   -0.529998   -0.528846 0.000412315
           6   -0.527135   -0.528561 0.000431137
           7   -0.529696   -0.528723 0.000398874
           8   -0.528088   -0.528644 0.000356839
           9   -0.527708    -0.52854    0.000332
          10   -0.526945    -0.52838 0.000334915
          11    -0.52827    -0.52837 0.000304618
          12   -0.529553   -0.528469 0.000294757
          13   -0.529271   -0.528531 0.000278468
          14   -0.525798   -0.528335 0.000319747
          15   -0.527665   -0.528291 0.000301541
          16   -0.530114   -0.528405 0.000303476
          17   -0.528894   -0.528433 0.000286985
          18   -0.528069   -0.528413 0.000271756
          19   -0.529561   -0.528474  0.00026408
          20   -0.525513   -0.528325 0.000289414
