#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.505449   -0.505449           0
           2    -0.50223   -0.503839  0.00113785
           3   -0.506057   -0.504579 0.000969374
           4   -0.505742    -0.50487 0.000769451
           5   -0.505564   -0.505008 0.000627972
           6   -0.503903   -0.504824 0.000549694
           7   -0.504906   -0.504836  0.00047129
           8   -0.504544   -0.504799 0.000413791
           9   -0.503957   -0.504706 0.000378248
          10   -0.503484   -0.504584 0.000359603
          11   -0.503503   -0.504485 0.000340063
          12   -0.506012   -0.504612 0.000334671
          13   -0.505871   -0.504709 0.000322633
          14   -0.502492   -0.504551 0.000336216
          15   -0.503761   -0.504498 0.000317898
          16   -0.504852    -0.50452 0.000298796
          17   -0.504698   -0.504531 0.000281403
          18   -0.504533   -0.504531 0.000265769
          19   -0.504798   -0.504545 0.000252153
          20   -0.502566   -0.504446 0.000258241
