#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.615133   -0.615133           0
           2   -0.613219   -0.614176 0.000676432
           3   -0.613939   -0.614097 0.000455533
           4   -0.614723   -0.614253 0.000367513
           5   -0.615588    -0.61452 0.000378767
           6   -0.614457    -0.61451 0.000315786
           7   -0.614873   -0.614562 0.000274892
           8   -0.613203   -0.614392 0.000288278
           9   -0.612271   -0.614156 0.000339151
          10   -0.612873   -0.614028 0.000328622
          11   -0.615372    -0.61415 0.000320668
          12    -0.61572   -0.614281  0.00031953
          13   -0.613825   -0.614246 0.000296871
          14   -0.609882   -0.613934 0.000407673
          15    -0.61189   -0.613798 0.000402631
          16   -0.615417   -0.613899 0.000389974
          17   -0.612969   -0.613844  0.00037085
          18    -0.61403   -0.613855 0.000350391
          19   -0.614171   -0.613871 0.000332345
          20   -0.609542   -0.613655 0.000379746
