#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.555342   -0.555342           0
           2   -0.552903   -0.554122  0.00086243
           3   -0.555111   -0.554452 0.000634845
           4    -0.55607   -0.554856 0.000591104
           5   -0.556568   -0.555199 0.000563347
           6   -0.552842   -0.554806 0.000590751
           7   -0.555798   -0.554948 0.000523078
           8   -0.554498   -0.554891 0.000460709
           9   -0.553693   -0.554758 0.000428331
          10    -0.55363   -0.554645 0.000400079
          11   -0.554158   -0.554601 0.000366157
          12   -0.555885   -0.554708 0.000350924
          13   -0.555786   -0.554791 0.000333584
          14   -0.552054   -0.554595  0.00036255
          15   -0.553541   -0.554525 0.000345133
          16   -0.556314   -0.554637 0.000341185
          17   -0.554287   -0.554616 0.000321737
          18   -0.555439   -0.554662 0.000307093
          19   -0.554823    -0.55467 0.000291046
          20   -0.551653    -0.55452 0.000313164
