#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.763957   -0.763957           0
           2   -0.759549   -0.761753  0.00155832
           3   -0.761556   -0.761687  0.00104026
           4   -0.763275   -0.762084 0.000852613
           5   -0.761531   -0.761974  0.00068924
           6   -0.761063   -0.761822 0.000590827
           7   -0.763406   -0.762048 0.000548059
           8   -0.760134   -0.761809 0.000529206
           9   -0.759529   -0.761556 0.000527574
          10   -0.760613   -0.761461 0.000483165
          11   -0.762085   -0.761518 0.000442558
          12   -0.765131   -0.761819 0.000497669
          13   -0.762424   -0.761866 0.000461558
          14   -0.763923   -0.762013 0.000451382
          15   -0.759706   -0.761859 0.000446708
          16   -0.762764   -0.761915 0.000422353
          17   -0.759631   -0.761781 0.000418346
          18   -0.761785   -0.761781 0.000395105
          19   -0.761098   -0.761745 0.000375944
          20   -0.759812   -0.761649 0.000369362
