#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.42584     0.42584           0
           2    0.421378    0.423609  0.00157742
           3     0.42629    0.424503     0.00128
           4    0.413571     0.42177  0.00255405
           5    0.410871     0.41959  0.00282412
           6    0.429677    0.421271  0.00280959
           7    0.410912    0.419791  0.00277067
           8    0.425419    0.420495  0.00251206
           9    0.426373    0.421148  0.00231628
          10    0.418891    0.420922  0.00209563
          11    0.410777        0.42  0.00209828
          12    0.418909    0.419909  0.00192539
          13    0.416242    0.419627  0.00179783
          14    0.422677    0.419845  0.00168256
          15    0.416703    0.419635  0.00158337
          16    0.407064     0.41885    0.001668
          17    0.423931    0.419149  0.00159644
          18    0.427203    0.419596   0.0015692
          19    0.415712    0.419392  0.00149987
          20    0.408076    0.418826  0.00152787
