#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.934663   -0.934663           0
           2   -0.929292   -0.931977  0.00189877
           3   -0.927968   -0.930641   0.0016712
           4      -0.929   -0.930231  0.00130279
           5   -0.928457   -0.929876  0.00108946
           6   -0.940605   -0.931664  0.00186785
           7   -0.938696   -0.932669  0.00185155
           8    -0.92994   -0.932328  0.00165123
           9   -0.937506   -0.932903  0.00156481
          10   -0.933168    -0.93293  0.00140856
          11   -0.928081   -0.932489  0.00134772
          12   -0.942311   -0.933307  0.00146302
          13   -0.945775   -0.934266  0.00163488
          14    -0.92893   -0.933885  0.00156191
          15   -0.939597   -0.934266  0.00150349
          16   -0.939696   -0.934605  0.00144732
          17   -0.937507   -0.934776  0.00137221
          18   -0.930388   -0.934532  0.00131746
          19   -0.934043   -0.934507  0.00124837
          20    -0.93729   -0.934646  0.00119368
