#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.253228    0.253228           0
           2    0.252671     0.25295 0.000197178
           3    0.250519    0.252139 0.000674475
           4    0.245964    0.250595  0.00142959
           5    0.247305    0.249937  0.00128625
           6    0.248586    0.249712  0.00109142
           7    0.251178    0.249922 0.000955382
           8    0.254646    0.250512  0.00100199
           9    0.255024    0.251013   0.0010083
          10    0.248749    0.250787 0.000932547
          11    0.248809    0.250607 0.000864924
          12    0.248609    0.250441  0.00080871
          13    0.251136    0.250494 0.000748267
          14    0.249909    0.250452 0.000695986
          15    0.249191    0.250368 0.000654647
          16    0.252005    0.250471 0.000621673
          17    0.249801    0.250431 0.000586349
          18    0.249562    0.250383 0.000555761
          19    0.249542    0.250339 0.000528268
          20    0.247883    0.250216  0.00051593
