#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.276119    0.276119           0
           2    0.271495    0.273807   0.0016346
           3    0.274973    0.274196  0.00113502
           4    0.268409    0.272749  0.00151474
           5    0.268739    0.271947  0.00140815
           6       0.269    0.271456  0.00125621
           7    0.271512    0.271464  0.00107677
           8    0.273017    0.271658 0.000959521
           9    0.276876    0.272238  0.00101304
          10    0.271721    0.272186 0.000913059
          11    0.268745    0.271873 0.000882017
          12    0.271378    0.271832 0.000809482
          13    0.270436    0.271725 0.000754304
          14    0.270981    0.271671 0.000702295
          15    0.268247    0.271443 0.000691595
          16    0.269175    0.271301 0.000662741
          17     0.26873     0.27115 0.000640784
          18    0.268715    0.271015 0.000619307
          19    0.269942    0.270958 0.000589277
          20    0.266974    0.270759 0.000592527
