#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.219225    0.219225           0
           2     0.21568    0.217453  0.00125336
           3    0.213356    0.216087  0.00139339
           4    0.209268    0.214382   0.0018089
           5    0.209012    0.213308  0.00173693
           6    0.215161    0.213617  0.00147465
           7    0.211385    0.213298    0.001298
           8      0.2163    0.213674  0.00118877
           9    0.213525    0.213657   0.0010568
          10    0.215122    0.213803 0.000961217
          11    0.211436    0.213588 0.000897599
          12    0.213302    0.213564 0.000823117
          13    0.211678    0.213419 0.000772482
          14    0.211084    0.213252   0.0007351
          15    0.213934    0.213298 0.000687494
          16    0.213197    0.213292 0.000644555
          17    0.214458     0.21336 0.000610283
          18    0.214517    0.213424 0.000579752
          19    0.214851      0.2135 0.000554078
          20    0.209079    0.213279 0.000568749
