#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.685135   -0.685135           0
           2   -0.682473   -0.683804 0.000941272
           3   -0.683147   -0.683585 0.000652497
           4   -0.685583   -0.684085 0.000653076
           5   -0.683097   -0.683887 0.000551522
           6   -0.682382   -0.683636  0.00051349
           7   -0.684199   -0.683717 0.000446384
           8   -0.681251   -0.683408  0.00048545
           9   -0.682332   -0.683289 0.000446001
          10   -0.680885   -0.683048 0.000461649
          11   -0.682569   -0.683005 0.000421732
          12   -0.683522   -0.683048 0.000388784
          13   -0.684001   -0.683121 0.000365719
          14   -0.681906   -0.683034 0.000349738
          15   -0.680983   -0.682898 0.000352152
          16   -0.684046   -0.682969  0.00033738
          17   -0.682628   -0.682949  0.00031813
          18   -0.683786   -0.682996 0.000303835
          19   -0.684294   -0.683064 0.000295431
          20   -0.680827   -0.682952 0.000301088
