#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.405376    0.405376           0
           2    0.403758    0.404567 0.000571997
           3    0.397603    0.402246  0.00193353
           4    0.395797    0.400634  0.00201305
           5    0.396754    0.399858  0.00175361
           6    0.409499    0.401464  0.00207054
           7    0.394001    0.400398  0.00203081
           8     0.39733    0.400015  0.00181281
           9    0.401778    0.400211  0.00162194
          10    0.396234    0.399813   0.0015077
          11    0.381325    0.398132  0.00210869
          12      0.3934    0.397738   0.0019695
          13    0.397301    0.397704  0.00181829
          14    0.404487    0.398189  0.00175176
          15    0.389904    0.397637  0.00171984
          16    0.390622    0.397198  0.00166729
          17    0.398691    0.397286  0.00157152
          18    0.405778    0.397758  0.00155342
          19    0.399742    0.397862  0.00147516
          20    0.392767    0.397607  0.00142324
