#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.461824    0.461824           0
           2    0.438893    0.450358  0.00810726
           3    0.440354    0.447023  0.00605198
           4     0.47527    0.454085  0.00761589
           5    0.429187    0.449105  0.00754706
           6    0.434975     0.44675  0.00664653
           7    0.426459    0.443852  0.00629749
           8    0.418767    0.440716  0.00624227
           9     0.46201    0.443082  0.00598027
          10     0.40704    0.439478  0.00637649
          11    0.439137    0.439447  0.00579688
          12    0.423103    0.438085  0.00547147
          13    0.439712     0.43821  0.00505201
          14    0.430982    0.437694  0.00471746
          15    0.422117    0.436655  0.00451581
          16    0.416774    0.435413  0.00440121
          17    0.465575    0.437187   0.0044857
          18    0.407156    0.435519  0.00453617
          19    0.436185    0.435554  0.00429756
          20    0.433739    0.435463  0.00408364
