#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.958929   -0.958929           0
           2   -0.960496   -0.959712 0.000553962
           3   -0.957445   -0.958956 0.000719178
           4   -0.962688   -0.959889 0.000971499
           5   -0.965689   -0.961049  0.00129636
           6   -0.968723   -0.962328  0.00159063
           7   -0.982708    -0.96524  0.00302061
           8   -0.985078    -0.96772  0.00351658
           9   -0.982014   -0.969308  0.00346602
          10   -0.970001   -0.969377  0.00312011
          11   -0.964398   -0.968924   0.0028691
          12   -0.980315   -0.969874  0.00278259
          13   -0.975781   -0.970328  0.00260538
          14   -0.978559   -0.970916  0.00248474
          15   -0.962155   -0.970332  0.00238674
          16   -0.977707   -0.970793  0.00228165
          17   -0.981393   -0.971416  0.00223101
          18    -0.97529   -0.971632  0.00211742
          19   -0.967082   -0.971392  0.00201947
          20   -0.967259   -0.971185  0.00192904
