#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.459637    0.459637           0
           2    0.415997    0.437817   0.0154291
           3    0.464107     0.44658     0.01253
           4    0.452196    0.447984  0.00947581
           5    0.429311     0.44425  0.00828399
           6    0.447457    0.444784  0.00692056
           7    0.425308    0.442002  0.00646706
           8     0.45449    0.443563  0.00584403
           9     0.46211    0.445624  0.00554616
          10     0.42604    0.443665  0.00532609
          11    0.439354    0.443273   0.0048563
          12    0.455363    0.444281  0.00455491
          13    0.428551    0.443071  0.00436228
          14    0.435952    0.442562  0.00408022
          15    0.454777    0.443377  0.00388862
          16    0.445797    0.443528  0.00364852
          17    0.453284    0.444102  0.00347874
          18    0.424786    0.443029  0.00344703
          19     0.44847    0.443315  0.00327748
          20    0.414569    0.441878  0.00341424
