#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.318425    0.318425           0
           2    0.316033    0.317229 0.000845735
           3     0.31524    0.316566 0.000781571
           4    0.310777    0.315119  0.00138367
           5    0.317919    0.315679    0.001215
           6     0.31696    0.315892  0.00103108
           7    0.316176    0.315933  0.00088458
           8    0.326009    0.317192  0.00140969
           9    0.321738    0.317698  0.00134046
          10    0.315684    0.317496  0.00122144
          11    0.316996    0.317451  0.00111125
          12     0.31413    0.317174  0.00105253
          13    0.315257    0.317027 0.000981841
          14    0.320914    0.317304 0.000950168
          15    0.321514    0.317585  0.00092735
          16    0.318129    0.317619 0.000870014
          17     0.31978    0.317746 0.000828069
          18    0.320931    0.317923 0.000800753
          19    0.316878    0.317868 0.000760495
          20    0.310702     0.31751 0.000802439
