#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.471794    0.471794           0
           2    0.411654    0.441724   0.0212627
           3    0.393124    0.425524   0.0193879
           4    0.374805    0.412844   0.0182214
           5    0.490538    0.428383   0.0201409
           6     0.47517    0.436181   0.0182312
           7    0.451551    0.438377   0.0157585
           8    0.412635    0.435159   0.0141133
           9    0.466909    0.438687   0.0129786
          10    0.364038    0.431222   0.0136598
          11    0.416044    0.429842   0.0124875
          12    0.504424    0.436057   0.0129012
          13    0.459048    0.437826   0.0120294
          14    0.457238    0.439212   0.0112498
          15    0.412819    0.437453   0.0106365
          16    0.474609    0.439775   0.0102221
          17    0.464044    0.441203  0.00971999
          18    0.434337    0.440821  0.00918747
          19    0.421843    0.439822  0.00875804
          20    0.420081    0.438835  0.00837558
