#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.29491     0.29491           0
           2    0.294357    0.294633 0.000195444
           3    0.298047    0.295771 0.000938141
           4      0.2911    0.294603  0.00123204
           5    0.293243    0.294331  0.00101525
           6     0.29169    0.293891  0.00093661
           7    0.294727     0.29401 0.000810394
           8     0.29982    0.294737 0.000981978
           9    0.301431    0.295481  0.00111971
          10    0.295465    0.295479  0.00100774
          11    0.294193    0.295362 0.000922876
          12    0.292767    0.295146  0.00087094
          13    0.292976    0.294979 0.000819787
          14    0.294908    0.294974 0.000761247
          15    0.291465     0.29474 0.000745571
          16    0.299108    0.295013 0.000747288
          17    0.295414    0.295036 0.000703703
          18    0.294459    0.295004  0.00066534
          19    0.288237    0.294648 0.000719378
          20    0.288356    0.294334 0.000749057
