#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.344024    0.344024           0
           2    0.346094    0.345059 0.000731655
           3    0.339097    0.343072  0.00169436
           4    0.340954    0.342542  0.00135092
           5    0.344843    0.343002  0.00115644
           6    0.351373    0.344397  0.00159709
           7    0.334131    0.342931  0.00192816
           8    0.353048    0.344195  0.00206058
           9    0.345458    0.344336  0.00183639
          10    0.340391    0.343941   0.0016946
          11    0.346612    0.344184  0.00155784
          12    0.331105    0.343094  0.00176868
          13    0.344687    0.343217  0.00163687
          14    0.347181      0.3435  0.00154425
          15    0.349104    0.343873  0.00148581
          16    0.342657    0.343797  0.00139489
          17    0.348291    0.344062  0.00133765
          18    0.341212    0.343903  0.00127267
          19    0.350254    0.344238  0.00124881
          20    0.337059    0.343879  0.00123688
