#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.201082    0.201082           0
           2    0.200693    0.200888  0.00013747
           3    0.197852    0.199876 0.000831343
           4    0.193602    0.198307  0.00149454
           5    0.194169     0.19748   0.0014063
           6      0.1996    0.197833  0.00121552
           7    0.194931    0.197418  0.00111032
           8     0.20053    0.197807  0.00103744
           9    0.199361     0.19798  0.00093642
          10    0.199058    0.198088 0.000848959
          11     0.19372    0.197691 0.000859652
          12    0.197508    0.197676 0.000788148
          13    0.196107    0.197555 0.000736701
          14    0.194524    0.197338 0.000715181
          15    0.198778    0.197434 0.000673915
          16    0.197788    0.197456 0.000632158
          17    0.199088    0.197552 0.000602213
          18    0.200675    0.197726  0.00059322
          19    0.198979    0.197792 0.000565652
          20    0.193264    0.197565 0.000580904
