#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.99295     2.99295           0
           2      2.9637     2.97832   0.0103419
           3     2.95458     2.97041  0.00944928
           4     2.93874     2.96249  0.00986036
           5     2.94098     2.95819  0.00877704
           6     2.89889     2.94831   0.0116147
           7     2.88043     2.93861   0.0134053
           8     2.90117     2.93393   0.0125202
           9     2.91973     2.93235    0.011228
          10     2.89106     2.92822   0.0108381
          11     2.88264     2.92408   0.0106154
          12     2.87815     2.92025   0.0103978
          13     2.86425     2.91594   0.0104525
          14     2.84224     2.91068   0.0109518
          15     2.89221     2.90945   0.0102906
          16     2.89433      2.9085  0.00969075
          17     2.91889     2.90911  0.00913995
          18     2.91423      2.9094   0.0086366
          19     2.90428     2.90913  0.00818624
          20     2.88358     2.90785  0.00787597
          21     2.89399     2.90719  0.00752853
          22     2.92142     2.90784  0.00721404
          23     2.93999     2.90924  0.00703452
          24     2.95542     2.91116  0.00699963
          25     2.95346     2.91285   0.0069211
          26      2.9032     2.91248  0.00666486
          27     2.87702     2.91117  0.00654615
          28     2.86117     2.90938  0.00655135
          29     2.84878     2.90729  0.00665039
          30     2.84918     2.90536  0.00670493
          31     2.83247       2.903  0.00688854
          32     2.84434     2.90117  0.00691292
          33     2.86423     2.90005  0.00679349
          34     2.88576     2.89963  0.00660667
          35     2.86533     2.89865  0.00649018
          36     2.86573     2.89774  0.00637398
          37     2.83437     2.89602  0.00642766
          38      2.8267      2.8942  0.00651224
          39     2.84747       2.893  0.00645453
          40     2.83957     2.89167  0.00642991
          41     2.86374     2.89099  0.00630906
          42     2.88285     2.89079  0.00616181
          43     2.88395     2.89063  0.00602057
          44      2.8335     2.88933  0.00602215
          45      2.7764     2.88682   0.0063899
          46     2.77908     2.88448  0.00666644
          47     2.82004     2.88311  0.00666409
          48     2.86198     2.88267  0.00653978
          49      2.8693      2.8824    0.006412
          50     2.82452     2.88124  0.00638738
