#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.64881     1.64881           0
           2     1.68448     1.66665   0.0126122
           3     1.66178     1.66502  0.00851192
           4     1.66492       1.665  0.00638398
           5     1.65422     1.66284  0.00545909
           6     1.67669     1.66515  0.00501326
           7      1.6688     1.66567  0.00432415
           8     1.67238     1.66651  0.00386421
           9     1.67975     1.66798   0.0037043
          10     1.66524     1.66771    0.003344
          11     1.66376     1.66735  0.00305919
          12     1.67372     1.66788   0.0028499
          13      1.6786      1.6687  0.00274753
          14     1.69016     1.67024  0.00294786
          15     1.67955     1.67086  0.00281592
          16     1.67281     1.67098  0.00264257
          17     1.67515     1.67122  0.00249847
          18     1.68088     1.67176  0.00241654
          19      1.6414     1.67016   0.0027677
          20     1.64785     1.66905  0.00284536
