#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.09921     1.09921           0
           2     1.12299      1.1111  0.00840813
           3     1.10785     1.11002  0.00567462
           4     1.10994        1.11  0.00425599
           5     1.10281     1.10856  0.00363939
           6     1.11779      1.1101  0.00334218
           7     1.11253     1.11045  0.00288277
           8     1.11492     1.11101  0.00257614
           9     1.11983     1.11199  0.00246953
          10     1.11016      1.1118  0.00222933
          11     1.10917     1.11157  0.00203946
          12     1.11581     1.11192  0.00189994
          13     1.11907     1.11247  0.00183168
          14     1.12677     1.11349  0.00196524
          15      1.1197      1.1139  0.00187728
          16     1.11521     1.11399  0.00176171
          17     1.11676     1.11415  0.00166564
          18     1.12059     1.11451  0.00161103
          19     1.09427     1.11344  0.00184513
          20     1.09856      1.1127   0.0018969
