#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.42597    -5.42597           0
           2    -5.46097    -5.44347   0.0123725
           3     -5.4379    -5.44162   0.0083863
           4    -5.44091    -5.44144  0.00629157
           5    -5.43015    -5.43918   0.0054234
           6    -5.45304    -5.44149  0.00498722
           7    -5.44698    -5.44227  0.00433591
           8    -5.44977    -5.44321  0.00389382
           9    -5.45682    -5.44472  0.00374341
          10    -5.44092    -5.44434  0.00338837
          11    -5.43996    -5.44394  0.00310369
          12    -5.45145    -5.44457  0.00290732
          13    -5.45579    -5.44543   0.0028089
          14    -5.46748    -5.44701  0.00301776
          15    -5.45527    -5.44756  0.00286642
          16    -5.44912    -5.44766  0.00268892
          17    -5.45222    -5.44792  0.00254412
          18    -5.45752    -5.44846  0.00245796
          19     -5.4188     -5.4469  0.00278035
          20    -5.42456    -5.44578  0.00285685
