#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
              1      0.0460857      0.0460857              0
              2      0.0405343        0.04331     0.00196273
              3      0.0554786      0.0473662     0.00356098
              4      0.0370314      0.0447825     0.00348417
              5      0.0456914      0.0449643     0.00279207
              6         0.0367      0.0435869     0.00264474
              7      0.0462029      0.0439606     0.00229317
              8      0.0365171      0.0430302     0.00218715
              9      0.0419629      0.0429116     0.00194735
             10      0.0352757       0.042148     0.00189642
             11        0.04255      0.0421845     0.00172437
             12      0.0414371      0.0421223      0.0015818
             13      0.0493843      0.0426809     0.00155563
             14      0.0392214      0.0424338     0.00146401
             15      0.0430229       0.042473     0.00136694
             16      0.0441786      0.0425796     0.00128565
             17      0.0466957      0.0428218     0.00123262
             18      0.0456871       0.042981     0.00117437
             19      0.0449171      0.0430829     0.00111697
             20      0.0474671      0.0433021     0.00108242
