#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
              1       0.048708       0.048708              0
              2       0.044516       0.046612      0.0014821
              3      0.0532187      0.0488142      0.0020517
              4       0.052908      0.0498377     0.00177578
              5      0.0512907      0.0501283     0.00144421
              6      0.0483533      0.0498324     0.00123343
              7      0.0487467      0.0496773     0.00106694
              8       0.054692      0.0503042     0.00110243
              9       0.045796      0.0498033      0.0010878
             10      0.0522573      0.0500487     0.00100632
             11      0.0519027      0.0502172    0.000928845
             12      0.0514667      0.0503213    0.000857257
             13      0.0510547      0.0503777    0.000793168
             14      0.0452627      0.0500124    0.000816338
             15      0.0578173      0.0505327    0.000912803
             16      0.0543267      0.0507698    0.000886016
             17      0.0642867      0.0515649     0.00113596
             18        0.05714      0.0518747     0.00111427
             19       0.044308      0.0514764     0.00112454
             20       0.053916      0.0515984     0.00107491
