#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
              1        1.67986        1.67986              0
              2        1.66254         1.6712     0.00612302
              3        1.73732        1.69324      0.0184509
              4        1.71829         1.6995      0.0148627
              5        1.65162        1.68993      0.0146539
              6        1.64839          1.683      0.0137497
              7        1.69659        1.68494      0.0119216
              8        1.62795        1.67782      0.0123783
              9        1.68649        1.67878      0.0110404
             10        1.71495         1.6824      0.0105121
             11        1.65715        1.68011      0.0098039
             12        1.71094        1.68267     0.00931746
             13        1.67175        1.68183     0.00863852
             14        1.67013          1.681     0.00806185
             15        1.65124        1.67901     0.00776467
             16        1.70925         1.6809     0.00750585
             17         1.7373        1.68422     0.00776281
             18        1.69132        1.68462     0.00734155
             19        1.70728        1.68581     0.00705138
             20        1.65043        1.68404     0.00691716
