#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
              1      0.0312818      0.0312818              0
              2      0.0325582        0.03192    0.000451263
              3      0.0254236      0.0297545      0.0017935
              4      0.0311309      0.0300986     0.00137774
              5      0.0372273      0.0315244     0.00168552
              6      0.0308364      0.0314097      0.0014085
              7      0.0258691      0.0306182     0.00141228
              8      0.0325218      0.0308561     0.00125563
              9      0.0196073      0.0296063     0.00162306
             10      0.0267473      0.0293204     0.00148572
             11      0.0271145      0.0291198     0.00136412
             12      0.0237564      0.0286729     0.00132164
             13      0.0303691      0.0288034      0.0012264
             14      0.0336582      0.0291501     0.00118681
             15      0.0283182      0.0290947     0.00110899
             16      0.0313527      0.0292358     0.00104862
             17      0.0326073      0.0294341     0.00100551
             18      0.0298073      0.0294548    0.000949865
             19      0.0337473      0.0296808    0.000926349
             20      0.0358709      0.0299903    0.000930301
