#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
              1       0.443434       0.443434              0
              2        0.44406       0.443747    0.000221505
              3       0.431685       0.439726     0.00328616
              4       0.439895       0.439769     0.00246489
              5       0.439302       0.439675     0.00197368
              6       0.433726       0.438684     0.00187733
              7        0.43145        0.43765     0.00187205
              8       0.436916       0.437559      0.0016403
              9       0.446379       0.438539     0.00172615
             10        0.43756       0.438441      0.0015563
             11       0.441214       0.438693      0.0014351
             12       0.433375        0.43825     0.00138224
             13       0.437709       0.438208     0.00127654
             14       0.440065       0.438341     0.00119223
             15       0.442071       0.438589     0.00113839
             16       0.442874       0.438857     0.00109829
             17       0.434683       0.438612     0.00106078
             18       0.435791       0.438455     0.00101336
             19       0.442344        0.43866    0.000980476
             20       0.432214       0.438337    0.000982999
