#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
              1       0.371111       0.371111              0
              2         0.3669       0.369006     0.00148905
              3       0.364567       0.367526     0.00156358
              4       0.359265       0.365461     0.00213876
              5       0.371033       0.366575     0.00198019
              6       0.369484        0.36706     0.00170847
              7       0.374077       0.368062     0.00173372
              8        0.36414       0.367572     0.00158481
              9       0.370571       0.367905     0.00144332
             10       0.367208       0.367836     0.00130067
             11       0.374121       0.368407      0.0013019
             12       0.371936       0.368701     0.00122618
             13        0.37344       0.369066      0.0011848
             14       0.373714       0.369398     0.00114574
             15       0.377851       0.369961     0.00119997
             16       0.374363       0.370236     0.00115608
             17       0.372188       0.370351     0.00109376
             18       0.372533       0.370472     0.00103969
             19       0.362606       0.370058     0.00106421
             20       0.368294        0.36997     0.00101465
