#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
              1        2.54588        2.54588              0
              2        2.46122        2.50355      0.0299336
              3        2.56101         2.5227      0.0253537
              4         2.5406        2.52718      0.0194059
              5        2.52549        2.52684      0.0155277
              6        2.49239         2.5211      0.0139608
              7        2.56121        2.52683      0.0130897
              8        2.50735        2.52439      0.0116778
              9        2.49138        2.52073      0.0109411
             10         2.5251        2.52116     0.00985577
             11        2.51247        2.52037     0.00899144
             12         2.5772        2.52511     0.00940678
             13        2.56798        2.52841     0.00924321
             14        2.49183        2.52579     0.00894449
             15        2.51421        2.52502     0.00838145
             16        2.58623        2.52885     0.00868686
             17        2.49883        2.52708     0.00835341
             18         2.5835        2.53022     0.00845693
             19        2.52564        2.52998     0.00801525
             20        2.51062        2.52901     0.00767269
