#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
              1        10.4301        10.4301              0
              2        10.1665        10.2983      0.0931982
              3        10.2595        10.2854       0.063023
              4        10.6548        10.3777      0.0928984
              5        10.4357        10.3893      0.0750377
              6        10.4534           10.4      0.0632864
              7        10.1028        10.3575      0.0669903
              8        9.90501         10.301      0.0789664
              9        10.8082        10.3573      0.0880374
             10        10.5623        10.3778      0.0815847
             11        9.77363        10.3229      0.0907943
             12        9.98433        10.2947      0.0875021
             13        10.5193         10.312        0.08246
             14        10.0271        10.2916      0.0790406
             15        10.2029        10.2857      0.0739922
             16        10.1096        10.2747      0.0701818
             17         10.131        10.2662      0.0665603
             18        10.2899        10.2676      0.0628754
             19        10.2319        10.2657      0.0595942
             20        10.2557        10.2652      0.0566166
