#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
              1        5.75544        5.75544              0
              2         5.5933        5.67437      0.0573257
              3         5.4591        5.60261       0.069952
              4        5.59069        5.59963      0.0525275
              5        5.64734        5.60918      0.0428799
              6        5.61209        5.60966       0.035736
              7        5.53959        5.59965       0.032002
              8        5.54191        5.59243      0.0288041
              9        5.57977        5.59103       0.025638
             10        5.73737        5.60566       0.026929
             11        5.51102        5.59706      0.0258189
             12        5.64535        5.60108      0.0239788
             13        5.45708           5.59        0.02456
             14        5.74498        5.60107      0.0251772
             15        5.59653        5.60077      0.0235005
             16        5.57879         5.5994      0.0220718
             17        5.64162        5.60188      0.0209127
             18        5.75685        5.61049      0.0214501
             19        5.43418        5.60121      0.0222379
             20        5.51396        5.59685      0.0215497
