#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
              1       0.196012       0.196012              0
              2       0.189316       0.192664     0.00236746
              3       0.212164       0.199164     0.00553682
              4       0.200449       0.199485     0.00416191
              5       0.199063       0.199401     0.00333039
              6       0.202138       0.199857      0.0028064
              7        0.20163        0.20011     0.00241688
              8       0.202971       0.200468     0.00214107
              9        0.19731       0.200117      0.0019317
             10       0.204954       0.200601     0.00179808
             11       0.182542       0.198959     0.00226322
             12       0.206165        0.19956     0.00215281
             13        0.21055       0.200405     0.00214681
             14       0.192805       0.199862     0.00206096
             15       0.219513       0.201172     0.00230261
             16       0.204597       0.201386     0.00216862
             17       0.176707       0.199935     0.00247982
             18        0.19283        0.19954     0.00237325
             19       0.224694       0.200864     0.00259143
             20       0.188809       0.200261     0.00253099
