#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
              1        24.1602        24.1602              0
              2        23.2375        23.6989        0.32622
              3        24.5384        23.9787       0.315442
              4        25.0769        24.2533       0.335421
              5        25.2598        24.4546       0.323151
              6        22.8076        24.1801       0.367845
              7        24.5813        24.2374       0.319729
              8        25.7926        24.4318       0.333672
              9        25.4752        24.5477       0.316098
             10        23.9226        24.4852       0.290605
             11        25.8103        24.6057       0.288073
             12        25.9659         24.719         0.2855
             13        24.4447        24.6979       0.264317
             14        24.2176        24.6636       0.247654
             15        26.1746        24.7644       0.250795
             16        23.7856        24.7032       0.242466
             17        25.4682        24.7482       0.232342
             18        23.9013        24.7011       0.224147
             19        25.2653        24.7308       0.214308
             20        25.3981        24.7642       0.206173
