#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
              1        3.57024        3.57024              0
              2        3.53957         3.5549      0.0108427
              3        3.40323        3.50435      0.0419076
              4        3.61125        3.53107      0.0390327
              5        3.63958        3.55277      0.0367669
              6        3.55059        3.55241      0.0306409
              7        3.50519        3.54566      0.0269959
              8        3.60724        3.55336      0.0246942
              9        3.53506        3.55133      0.0220339
             10        3.51325        3.54752      0.0201568
             11        3.55387         3.5481      0.0183327
             12        3.54133        3.54753      0.0168136
             13        3.60326        3.55182      0.0160574
             14        3.57459        3.55345      0.0149926
             15         3.5285        3.55178       0.014085
             16        3.60316        3.55499      0.0135658
             17        3.58021        3.55648      0.0128486
             18        3.67724        3.56319      0.0137754
             19        3.59948         3.5651      0.0131821
             20        3.55222        3.56445      0.0125387
