#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
              1       0.439216       0.439216              0
              2       0.431089       0.435152     0.00287316
              3       0.426095       0.432133     0.00312189
              4        0.43271       0.432277     0.00234475
              5        0.43172       0.432166     0.00187844
              6       0.416174       0.429501     0.00289319
              7       0.427316       0.429188     0.00249665
              8       0.450869       0.431899     0.00334647
              9       0.443588       0.433197     0.00321683
             10       0.433822        0.43326     0.00289576
             11       0.429975       0.432961     0.00264786
             12       0.430563       0.432761     0.00243474
             13       0.419009       0.431703     0.00246658
             14       0.429048       0.431514     0.00229767
             15       0.440971       0.432144     0.00222933
             16       0.425264       0.431714     0.00213106
             17        0.43138       0.431695     0.00200579
             18       0.436738       0.431975     0.00191383
             19       0.434786       0.432123     0.00181881
             20       0.425235       0.431778     0.00176018
