#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.761222   -0.761222           0
           2   -0.762792   -0.762007 0.000555079
           3   -0.763906    -0.76264 0.000635661
           4    -0.76019   -0.762027   0.0007132
           5   -0.761424   -0.761907 0.000580683
           6    -0.76199   -0.761921 0.000484068
           7   -0.761704    -0.76189 0.000415904
           8   -0.764632   -0.762232 0.000485025
           9    -0.76075   -0.762068 0.000458252
          10   -0.762332   -0.762094 0.000413187
          11   -0.762884   -0.762166 0.000381812
          12   -0.760176      -0.762 0.000384324
          13    -0.76341   -0.762109 0.000369746
          14   -0.762788   -0.762157 0.000346505
          15    -0.76045   -0.762043 0.000341584
          16    -0.76202   -0.762042 0.000320238
          17   -0.761566   -0.762014 0.000302622
          18   -0.759846   -0.761893 0.000308847
          19   -0.762906   -0.761947 0.000297154
          20   -0.761574   -0.761928  0.00028288
