#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
              1       0.138732       0.138732              0
              2       0.138796       0.138764    2.26274e-05
              3       0.144762       0.140763     0.00163252
              4       0.144174       0.141616     0.00142983
              5       0.136317       0.140556     0.00148558
              6       0.157396       0.143363     0.00284551
              7       0.138014       0.142599     0.00253953
              8       0.156588       0.144347     0.00275922
              9       0.142087       0.144096     0.00246404
             10       0.149753       0.144662     0.00228165
             11        0.15265       0.145388     0.00218674
             12       0.143252        0.14521     0.00201174
             13        0.13551       0.144464     0.00199056
             14       0.142144       0.144298     0.00185527
             15       0.137818       0.143866     0.00178117
             16       0.138402       0.143525     0.00170227
             17       0.137604       0.143176     0.00163738
             18       0.146284       0.143349     0.00155549
             19       0.142726       0.143316     0.00147397
             20       0.141921       0.143246     0.00140192
