#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
              1       0.314781       0.314781              0
              2       0.312218       0.313499    0.000905963
              3       0.314326       0.313775    0.000644517
              4       0.318244       0.314892     0.00108157
              5       0.319477       0.315809     0.00119223
              6       0.316814       0.315977     0.00100522
              7       0.320111       0.316567     0.00102051
              8       0.315677       0.316456    0.000898995
              9       0.318943       0.316732    0.000840492
             10       0.312467       0.316306     0.00085789
             11       0.317886       0.316449    0.000791834
             12       0.313697        0.31622     0.00075834
             13       0.317693       0.316333    0.000708421
             14       0.320597       0.316638     0.00072032
             15       0.321836       0.316984    0.000751033
             16       0.319106       0.317117    0.000715708
             17       0.318566       0.317202    0.000678666
             18       0.315632       0.317115    0.000646542
             19       0.316734       0.317095    0.000612824
             20       0.316379       0.317059    0.000583227
