#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
              1       0.449497       0.449497              0
              2       0.451107       0.450302    0.000569304
              3        0.44407       0.448224       0.001738
              4       0.456896       0.450392     0.00228553
              5       0.440164       0.448347     0.00258668
              6         0.4232       0.444156     0.00439137
              7       0.446601       0.444505     0.00377791
              8       0.436892       0.443553     0.00342341
              9       0.453102       0.444614     0.00320322
             10       0.425549       0.442708     0.00340331
             11       0.446374       0.443041      0.0031102
             12       0.444523       0.443164     0.00285346
             13       0.439602        0.44289     0.00264709
             14       0.433132       0.442193     0.00254813
             15        0.43174       0.441497     0.00247171
             16       0.434905       0.441085     0.00235132
             17       0.432503        0.44058     0.00226654
             18       0.430131       0.439999     0.00221372
             19       0.448201       0.440431     0.00213888
             20       0.445268       0.440673     0.00204556
