#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
              1       0.249428       0.249428              0
              2       0.248973         0.2492    0.000161001
              3       0.243997       0.247466     0.00142026
              4        0.24699       0.247347     0.00107016
              5       0.246824       0.247242    0.000861236
              6       0.250492       0.247784     0.00087149
              7       0.246154       0.247551    0.000777492
              8       0.247524       0.247548    0.000680313
              9        0.25022       0.247845    0.000666366
             10       0.252707       0.248331    0.000756641
             11       0.251344       0.248605    0.000735761
             12       0.250397       0.248754    0.000689434
             13       0.243889        0.24838    0.000730957
             14       0.246955       0.248278    0.000685795
             15       0.248458        0.24829     0.00064018
             16       0.251603       0.248497    0.000632762
             17       0.246089       0.248355    0.000611192
             18       0.249599       0.248425    0.000581127
             19       0.249545       0.248483    0.000553523
             20       0.255738       0.248846    0.000633652
