#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
              1       0.420877       0.420877              0
              2       0.420938       0.420908    2.15318e-05
              3       0.419261       0.420359    0.000448385
              4       0.413254       0.418583     0.00157455
              5       0.421291       0.419124     0.00134957
              6       0.424994       0.420103     0.00143609
              7       0.416687       0.419615     0.00131122
              8       0.417999       0.419413     0.00116276
              9       0.427532       0.420315     0.00133853
             10       0.424672       0.420751     0.00127362
             11       0.415056       0.420233     0.00125866
             12       0.421486       0.420337      0.0011581
             13       0.421315       0.420413     0.00107145
             14       0.419115        0.42032    0.000998915
             15       0.426958       0.420762     0.00102567
             16       0.417748       0.420574    0.000978718
             17       0.416957       0.420361    0.000943985
             18       0.421575       0.420429    0.000893946
             19       0.413186       0.420047    0.000924609
             20       0.422508       0.420171    0.000886527
