#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.683398   -0.683398           0
           2   -0.682076   -0.682737 0.000467476
           3   -0.683044   -0.682839 0.000322712
           4   -0.682153   -0.682668 0.000283963
           5   -0.681916   -0.682517 0.000264032
           6   -0.683991   -0.682763  0.00031415
           7   -0.684269   -0.682978 0.000334929
           8   -0.681989   -0.682854 0.000315062
           9   -0.683084    -0.68288  0.00028109
          10   -0.683382    -0.68293 0.000257428
          11   -0.682438   -0.682885 0.000237886
          12   -0.683871   -0.682968  0.00023181
          13   -0.681673   -0.682868 0.000234384
          14   -0.683538   -0.682916 0.000222471
          15   -0.683822   -0.682976 0.000215689
          16   -0.682238    -0.68293 0.000207089
          17   -0.682091   -0.682881 0.000200702
          18   -0.683442   -0.682912  0.00019196
          19     -0.6807   -0.682796 0.000214271
          20    -0.68028    -0.68267 0.000237623
