#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
              1        2.24773        2.24773              0
              2        2.16267         2.2052      0.0300735
              3        2.13984        2.18341      0.0268025
              4        2.19192        2.18554      0.0201861
              5        2.15519        2.17947      0.0170374
              6        2.20911        2.18441      0.0148966
              7        2.20009        2.18665      0.0129357
              8        2.14525        2.18147      0.0123106
              9        2.19507        2.18298       0.011035
             10        2.19311          2.184     0.00997785
             11        2.17888        2.18353     0.00908161
             12        2.13505        2.17949      0.0091797
             13        2.18481         2.1799     0.00848268
             14        2.15033        2.17779     0.00813544
             15        2.18842         2.1785     0.00762388
             16         2.1586        2.17725     0.00724806
             17        2.24467        2.18122      0.0078318
             18        2.16438        2.18028     0.00745235
             19        2.16085        2.17926     0.00712996
             20        2.22599         2.1816     0.00714606
