#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.721956   -0.721956           0
           2   -0.720101   -0.721028 0.000655748
           3   -0.721215   -0.721091 0.000440097
           4   -0.720236   -0.720877 0.000378409
           5   -0.719604   -0.720622 0.000378775
           6   -0.721682   -0.720799 0.000354445
           7    -0.72076   -0.720793 0.000303854
           8   -0.720971   -0.720816 0.000266678
           9   -0.720832   -0.720817 0.000237053
          10   -0.721099   -0.720845 0.000215014
          11   -0.720676    -0.72083  0.00019602
          12   -0.720524   -0.720805 0.000181334
          13   -0.720196   -0.720758 0.000173327
          14   -0.721215    -0.72079 0.000163991
          15   -0.719968   -0.720736 0.000161955
          16   -0.720286   -0.720707 0.000154248
          17   -0.721137   -0.720733 0.000147227
          18   -0.720981   -0.720747 0.000139693
          19   -0.718819   -0.720645 0.000165121
          20   -0.721869   -0.720706  0.00016783
