#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
              1        7.32855        7.32855              0
              2        7.74734        7.53794       0.148063
              3        7.53343        7.53644      0.0987164
              4         7.2077        7.45425         0.1027
              5        7.55127        7.47366      0.0839724
              6        7.34655        7.45247      0.0726001
              7        7.34555         7.4372      0.0638152
              8        7.69786        7.46978      0.0636151
              9        7.35016        7.45649      0.0579185
             10        7.64629        7.47547      0.0551489
             11        7.18937        7.44946      0.0559331
             12        7.33341        7.43979      0.0521014
             13        7.45442        7.44092      0.0481058
             14        7.54316        7.44822      0.0452206
             15        7.57945        7.45697      0.0430438
             16        7.47339        7.45799      0.0403658
             17        7.53752        7.46267      0.0382615
             18        7.19228        7.44765      0.0389733
             19        7.48598        7.44967      0.0369743
             20        7.15532        7.43495      0.0379418
