#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
              1        46.3028        46.3028              0
              2         39.459        42.8809        2.41965
              3        43.9868        43.2495        1.64094
              4        45.7143        43.8657        1.34142
              5         43.651        43.8228        1.07382
              6        43.9132        43.8378       0.894956
              7        45.4157        44.0633       0.794985
              8        42.6088        43.8814         0.7161
              9        44.2218        43.9193       0.637531
             10        43.4654        43.8739       0.575391
             11        44.4832        43.9293       0.525743
             12        43.3355        43.8798       0.484254
             13        42.3489         43.762       0.461099
             14        42.3344        43.6601       0.439295
             15        45.0893        43.7553       0.420216
             16        47.1385        43.9668       0.443976
             17        41.3668        43.8138       0.443419
             18        45.0185        43.8808       0.423805
             19        44.3586        43.9059       0.402245
             20        43.7537        43.8983       0.382205
