#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
              1      0.0819333      0.0819333              0
              2      0.0803633      0.0811483    0.000555079
              3      0.0896722      0.0839896     0.00234924
              4      0.0888878      0.0852142     0.00205646
              5      0.0783778      0.0838469     0.00204991
              6      0.0796767      0.0831519     0.00182228
              7      0.0923278      0.0844627     0.00197802
              8      0.0786622      0.0837376     0.00185891
              9      0.0802289      0.0833478     0.00169275
             10      0.0902967      0.0840427     0.00165999
             11      0.0829611      0.0839443     0.00151199
             12      0.0906822      0.0845058      0.0014866
             13      0.0859322      0.0846156     0.00137629
             14      0.0960056      0.0854291     0.00149928
             15        0.09057      0.0857719     0.00143797
             16      0.0870244      0.0858501     0.00135023
             17      0.0948933      0.0863821     0.00137159
             18      0.0849367      0.0863018     0.00129774
             19      0.0856044      0.0862651     0.00122996
             20      0.0965167      0.0867777     0.00127079
