#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.529468   -0.529468           0
           2   -0.526394   -0.527931  0.00108677
           3   -0.529778   -0.528547 0.000881932
           4   -0.527978   -0.528405 0.000672792
           5   -0.527471   -0.528218 0.000563562
           6   -0.529018   -0.528351 0.000485175
           7   -0.526489   -0.528085 0.000483316
           8   -0.527037   -0.527954 0.000440308
           9   -0.526951   -0.527843 0.000405256
          10   -0.527123   -0.527771 0.000371065
          11   -0.529058   -0.527888 0.000355318
          12   -0.528178   -0.527912 0.000326532
          13    -0.52916   -0.528008  0.00031521
          14   -0.529822   -0.528138   0.0003182
          15   -0.530154   -0.528272 0.000324136
          16   -0.529729   -0.528363 0.000316415
          17   -0.529178   -0.528411 0.000301416
          18   -0.528258   -0.528403 0.000284789
          19   -0.526446     -0.5283 0.000287814
          20   -0.527077   -0.528238 0.000279841
